요일,통학방식,출발시간,도착시간,지각여부,소요시간,위도,경도
금,자가용(부모님),7H 45M 0S,8H 10M 0S,정상 등교,1H -35M 0S,37.2262151,126.9705076
목,자가용(부모님),7H 50M 0S,8H 13M 0S,정상 등교,1H -37M 0S,37.2262151,126.9705076
목,버스,7H 48M 0S,8H 13M 0S,정상 등교,1H -35M 0S,37.2262151,126.9705076
금,도보,7H 30M 0S,7H 50M 0S,정상 등교,20M 0S,37.2204367,126.9570735
수,도보,7H 38M 0S,7H 52M 0S,정상 등교,14M 0S,37.2204367,126.9570735
월,도보,7H 40M 0S,7H 55M 0S,정상 등교,15M 0S,37.2204367,126.9570735
수,도보,7H 47M 0S,8H 0M 0S,정상 등교,1H -47M 0S,37.2204367,126.9570735
화,도보,8H 20M 0S,8H 30M 0S,정상 등교,10M 0S,37.2204367,126.9570735
목,도보,8H 17M 0S,8H 31M 0S,정상 등교,14M 0S,37.2204367,126.9570735
수,도보,8H 26M 0S,8H 40M 0S,정상 등교,14M 0S,37.2204367,126.9570735
금,도보,8H 24M 0S,8H 40M 0S,정상 등교,16M 0S,37.2204367,126.9570735
목,도보,8H 21M 0S,8H 40M 0S,정상 등교,19M 0S,37.2204367,126.9570735
화,자가용(부모님),8H 28M 0S,8H 45M 0S,정상 등교,17M 0S,37.2204367,126.9570735
월,버스,7H 28M 0S,7H 50M 0S,정상 등교,22M 0S,37.2151922,126.9747578
목,버스,7H 30M 0S,7H 53M 0S,정상 등교,23M 0S,37.2151922,126.9747578
화,버스,7H 28M 0S,7H 53M 0S,정상 등교,25M 0S,37.2151922,126.9747578
화,버스,7H 28M 0S,7H 53M 0S,정상 등교,25M 0S,37.2151922,126.9747578
수,버스,7H 28M 0S,7H 58M 0S,정상 등교,30M 0S,37.2151922,126.9747578
목,버스,7H 35M 0S,8H 3M 0S,정상 등교,1H -32M 0S,37.2151922,126.9747578
화,버스,7H 42M 0S,8H 7M 0S,정상 등교,1H -35M 0S,37.2151922,126.9747578
월,버스,7H 42M 0S,8H 10M 0S,정상 등교,1H -32M 0S,37.2151922,126.9747578
목,버스,7H 48M 0S,8H 20M 0S,정상 등교,1H -28M 0S,37.2151922,126.9747578
수,버스,8H 0M 0S,8H 27M 0S,정상 등교,27M 0S,37.2151922,126.9747578
월,버스,8H 5M 0S,8H 30M 0S,정상 등교,25M 0S,37.2151922,126.9747578
수,버스,7H 30M 0S,7H 51M 0S,정상 등교,21M 0S,37.2272019,126.9748668
목,버스,7H 33M 0S,7H 53M 0S,정상 등교,20M 0S,37.2272019,126.9748668
화,버스,7H 30M 0S,7H 53M 0S,정상 등교,23M 0S,37.2272019,126.9748668
금,버스,7H 32M 0S,7H 54M 0S,정상 등교,22M 0S,37.2272019,126.9748668
금,버스,7H 32M 0S,7H 54M 0S,정상 등교,22M 0S,37.2272019,126.9748668
화,버스,7H 30M 0S,7H 54M 0S,정상 등교,24M 0S,37.2272019,126.9748668
수,버스,7H 33M 0S,7H 55M 0S,정상 등교,22M 0S,37.2272019,126.9748668
목,도보,7H 0M 0S,7H 51M 0S,정상 등교,51M 0S,37.2360558,126.9559866
금,자가용(부모님),7H 40M 0S,7H 55M 0S,정상 등교,15M 0S,37.2360558,126.9559866
화,자가용(부모님),7H 40M 0S,7H 55M 0S,정상 등교,15M 0S,37.2360558,126.9559866
화,도보,7H 20M 0S,7H 55M 0S,정상 등교,35M 0S,37.2360558,126.9559866
목,도보,7H 25M 0S,7H 57M 0S,정상 등교,32M 0S,37.2360558,126.9559866
화,도보,7H 31M 0S,8H 0M 0S,정상 등교,1H -31M 0S,37.2360558,126.9559866
월,도보,7H 30M 0S,8H 0M 0S,정상 등교,1H -30M 0S,37.2360558,126.9559866
금,도보,7H 30M 0S,8H 2M 0S,정상 등교,1H -28M 0S,37.2360558,126.9559866
화,도보,7H 20M 0S,8H 3M 0S,정상 등교,1H -17M 0S,37.2360558,126.9559866
금,도보,7H 20M 0S,8H 3M 0S,정상 등교,1H -17M 0S,37.2360558,126.9559866
월,도보,7H 35M 0S,8H 4M 0S,정상 등교,1H -31M 0S,37.2360558,126.9559866
수,버스,7H 45M 0S,8H 5M 0S,정상 등교,1H -40M 0S,37.2360558,126.9559866
수,도보,7H 30M 0S,8H 11M 0S,정상 등교,1H -19M 0S,37.2360558,126.9559866
목,도보,7H 35M 0S,8H 15M 0S,정상 등교,1H -20M 0S,37.2360558,126.9559866
목,도보,8H 0M 0S,8H 51M 0S,지각,51M 0S,37.2360558,126.9559866
화,버스,7H 27M 0S,7H 54M 0S,정상 등교,27M 0S,37.2214059,126.9871955
목,버스,7H 27M 0S,7H 55M 0S,정상 등교,28M 0S,37.2214059,126.9871955
수,버스,7H 28M 0S,7H 56M 0S,정상 등교,28M 0S,37.2214059,126.9871955
월,버스,7H 30M 0S,7H 57M 0S,정상 등교,27M 0S,37.2214059,126.9871955
목,버스,7H 28M 0S,7H 57M 0S,정상 등교,29M 0S,37.2214059,126.9871955
화,버스,7H 28M 0S,7H 58M 0S,정상 등교,30M 0S,37.2214059,126.9871955
목,버스,7H 29M 0S,8H 1M 0S,정상 등교,1H -28M 0S,37.2214059,126.9871955
월,버스,7H 30M 0S,8H 4M 0S,정상 등교,1H -26M 0S,37.2214059,126.9871955
수,버스,7H 42M 0S,8H 23M 0S,정상 등교,1H -19M 0S,37.2214059,126.9871955
금,버스,7H 55M 0S,8H 36M 0S,정상 등교,1H -19M 0S,37.2214059,126.9871955
금,자가용(부모님),7H 45M 0S,7H 55M 0S,정상 등교,10M 0S,37.2229145,126.9498638
월,자가용(부모님),7H 50M 0S,8H 0M 0S,정상 등교,1H -50M 0S,37.2229145,126.9498638
월,자가용(부모님),7H 55M 0S,8H 5M 0S,정상 등교,1H -50M 0S,37.2229145,126.9498638
목,자가용(부모님),8H 30M 0S,8H 40M 0S,정상 등교,10M 0S,37.2229145,126.9498638
수,자가용(부모님),8H 30M 0S,8H 40M 0S,정상 등교,10M 0S,37.2229145,126.9498638
수,자가용(부모님),8H 35M 0S,8H 43M 0S,정상 등교,8M 0S,37.2229145,126.9498638
월,자가용(부모님),8H 35M 0S,8H 45M 0S,정상 등교,10M 0S,37.2229145,126.9498638
화,자가용(부모님),8H 35M 0S,8H 45M 0S,정상 등교,10M 0S,37.2229145,126.9498638
목,자가용(부모님),8H 35M 0S,8H 45M 0S,정상 등교,10M 0S,37.2229145,126.9498638
화,자가용(부모님),8H 35M 0S,8H 45M 0S,정상 등교,10M 0S,37.2229145,126.9498638
화,도보,8H 25M 0S,8H 45M 0S,정상 등교,20M 0S,37.2229145,126.9498638
목,도보,8H 25M 0S,8H 45M 0S,정상 등교,20M 0S,37.2229145,126.9498638
목,버스,7H 30M 0S,7H 55M 0S,정상 등교,25M 0S,37.2225131,126.9766847
수,자가용(부모님),7H 40M 0S,8H 0M 0S,정상 등교,1H -40M 0S,37.2225131,126.9766847
금,버스,7H 30M 0S,8H 0M 0S,정상 등교,1H -30M 0S,37.2225131,126.9766847
월,버스,7H 30M 0S,8H 10M 0S,정상 등교,1H -20M 0S,37.2225131,126.9766847
수,버스,7H 50M 0S,8H 20M 0S,정상 등교,1H -30M 0S,37.2225131,126.9766847
금,버스,7H 50M 0S,8H 20M 0S,정상 등교,1H -30M 0S,37.2225131,126.9766847
