지점,지점명,일시,월강수량
401,서초,2015-01-01,9.5
401,서초,2015-02-01,20
401,서초,2015-03-01,6
401,서초,2015-04-01,95.5
401,서초,2015-05-01,28.5
401,서초,2015-06-01,93.5
401,서초,2015-07-01,181
401,서초,2015-08-01,91.5
401,서초,2015-09-01,59.5
401,서초,2015-10-01,74
401,서초,2015-11-01,135
401,서초,2015-12-01,31
401,서초,2016-01-01,0
401,서초,2016-02-01,38.5
401,서초,2016-03-01,36
401,서초,2016-04-01,72
401,서초,2016-05-01,150.5
401,서초,2016-06-01,66.5
401,서초,2016-07-01,325.5
401,서초,2016-08-01,105
401,서초,2016-09-01,53
401,서초,2016-10-01,67
401,서초,2016-11-01,14.5
401,서초,2016-12-01,63.5
401,서초,2017-01-01,15.5
401,서초,2017-02-01,12
401,서초,2017-03-01,11.5
401,서초,2017-04-01,59
401,서초,2017-05-01,21.5
401,서초,2017-06-01,70.5
401,서초,2017-07-01,502.5
401,서초,2017-08-01,362.5
401,서초,2017-09-01,21
401,서초,2017-10-01,42.5
401,서초,2017-11-01,47
401,서초,2017-12-01,33
401,서초,2018-01-01,4.5
401,서초,2018-02-01,28.5
401,서초,2018-03-01,66.5
401,서초,2018-04-01,134.5
401,서초,2018-05-01,211.5
401,서초,2018-06-01,98.5
401,서초,2018-07-01,202
401,서초,2018-08-01,202
401,서초,2018-09-01,78
401,서초,2018-10-01,138
401,서초,2018-11-01,80.5
401,서초,2018-12-01,19.5
401,서초,2019-01-01,0
401,서초,2019-02-01,28
401,서초,2019-03-01,41
401,서초,2019-04-01,44
401,서초,2019-05-01,23.5
401,서초,2019-06-01,84.5
401,서초,2019-07-01,255.5
401,서초,2019-08-01,208
401,서초,2019-09-01,133.5
401,서초,2019-10-01,60
401,서초,2019-11-01,92
401,서초,2019-12-01,18
401,서초,2020-01-01,58
401,서초,2020-02-01,48.5
401,서초,2020-03-01,16
401,서초,2020-04-01,20
401,서초,2020-05-01,91
401,서초,2020-06-01,77
401,서초,2020-07-01,308
401,서초,2020-08-01,713
401,서초,2020-09-01,174
401,서초,2020-10-01,7
401,서초,2020-11-01,91.5
401,서초,2020-12-01,3.5
401,서초,2021-01-01,23.5
401,서초,2021-02-01,4
401,서초,2021-03-01,105
401,서초,2021-04-01,116.5
401,서초,2021-05-01,179
401,서초,2021-06-01,107
401,서초,2021-07-01,129.5
401,서초,2021-08-01,253.5
401,서초,2021-09-01,127.5
401,서초,2021-10-01,40
401,서초,2021-11-01,79.5
401,서초,2021-12-01,4.5
401,서초,2022-01-01,0
401,서초,2022-02-01,5.5
401,서초,2022-03-01,69
401,서초,2022-04-01,26.5
401,서초,2022-05-01,10
401,서초,2022-06-01,411.5
401,서초,2022-07-01,302
401,서초,2022-08-01,748
